,code,region,Value,Outlet_Type,year,month
440,11A1312,Porto,,Industrial,2024,8
441,11A1313,Póvoa de Varzim,,Industrial,2024,8
442,11A0109,Santa Maria da Feira,,Industrial,2024,8
443,11A1314,Santo Tirso,,Industrial,2024,8
444,11A0116,São João da Madeira,,Industrial,2024,8
445,11A1318,Trofa,,Industrial,2024,8
446,11A0119,Vale de Cambra,,Industrial,2024,8
447,11A1315,Valongo,,Industrial,2024,8
448,11A1316,Vila do Conde,,Industrial,2024,8
449,11A1317,Vila Nova de Gaia,,Industrial,2024,8
450,11A,Área Metropolitana do Porto,2080,Total,2024,7
451,11A0104,Arouca,9,Total,2024,7
452,11A0107,Espinho,24,Total,2024,7
453,11A1304,Gondomar,100,Total,2024,7
454,11A1306,Maia,158,Total,2024,7
455,11A1308,Matosinhos,332,Total,2024,7
456,11A0113,Oliveira de Azeméis,18,Total,2024,7
457,11A1310,Paredes,47,Total,2024,7
458,11A1312,Porto,496,Total,2024,7
459,11A1313,Póvoa de Varzim,85,Total,2024,7
460,11A0109,Santa Maria da Feira,173,Total,2024,7
461,11A1314,Santo Tirso,51,Total,2024,7
462,11A0116,São João da Madeira,28,Total,2024,7
463,11A1318,Trofa,31,Total,2024,7
464,11A0119,Vale de Cambra,12,Total,2024,7
465,11A1315,Valongo,95,Total,2024,7
466,11A1316,Vila do Conde,81,Total,2024,7
467,11A1317,Vila Nova de Gaia,340,Total,2024,7
468,11A,Área Metropolitana do Porto,1370,Mennekes,2024,7
469,11A0104,Arouca,7,Mennekes,2024,7
470,11A0107,Espinho,16,Mennekes,2024,7
471,11A1304,Gondomar,60,Mennekes,2024,7
472,11A1306,Maia,113,Mennekes,2024,7
473,11A1308,Matosinhos,234,Mennekes,2024,7
474,11A0113,Oliveira de Azeméis,11,Mennekes,2024,7
475,11A1310,Paredes,26,Mennekes,2024,7
476,11A1312,Porto,351,Mennekes,2024,7
477,11A1313,Póvoa de Varzim,50,Mennekes,2024,7
478,11A0109,Santa Maria da Feira,123,Mennekes,2024,7
479,11A1314,Santo Tirso,23,Mennekes,2024,7
480,11A0116,São João da Madeira,18,Mennekes,2024,7
481,11A1318,Trofa,15,Mennekes,2024,7
482,11A0119,Vale de Cambra,5,Mennekes,2024,7
483,11A1315,Valongo,46,Mennekes,2024,7
484,11A1316,Vila do Conde,53,Mennekes,2024,7
485,11A1317,Vila Nova de Gaia,219,Mennekes,2024,7
486,11A,Área Metropolitana do Porto,293,CHAdeMO,2024,7
487,11A0104,Arouca,1,CHAdeMO,2024,7
488,11A0107,Espinho,4,CHAdeMO,2024,7
489,11A1304,Gondomar,15,CHAdeMO,2024,7
490,11A1306,Maia,18,CHAdeMO,2024,7
491,11A1308,Matosinhos,36,CHAdeMO,2024,7
492,11A0113,Oliveira de Azeméis,3,CHAdeMO,2024,7
493,11A1310,Paredes,10,CHAdeMO,2024,7
494,11A1312,Porto,66,CHAdeMO,2024,7
495,11A1313,Póvoa de Varzim,12,CHAdeMO,2024,7
496,11A0109,Santa Maria da Feira,18,CHAdeMO,2024,7
497,11A1314,Santo Tirso,13,CHAdeMO,2024,7
498,11A0116,São João da Madeira,4,CHAdeMO,2024,7
499,11A1318,Trofa,8,CHAdeMO,2024,7
500,11A0119,Vale de Cambra,4,CHAdeMO,2024,7
501,11A1315,Valongo,20,CHAdeMO,2024,7
502,11A1316,Vila do Conde,9,CHAdeMO,2024,7
503,11A1317,Vila Nova de Gaia,52,CHAdeMO,2024,7
504,11A,Área Metropolitana do Porto,417,CCS,2024,7
505,11A0104,Arouca,1,CCS,2024,7
506,11A0107,Espinho,4,CCS,2024,7
507,11A1304,Gondomar,25,CCS,2024,7
508,11A1306,Maia,27,CCS,2024,7
509,11A1308,Matosinhos,62,CCS,2024,7
510,11A0113,Oliveira de Azeméis,4,CCS,2024,7
511,11A1310,Paredes,11,CCS,2024,7
512,11A1312,Porto,79,CCS,2024,7
513,11A1313,Póvoa de Varzim,23,CCS,2024,7
514,11A0109,Santa Maria da Feira,32,CCS,2024,7
515,11A1314,Santo Tirso,15,CCS,2024,7
516,11A0116,São João da Madeira,6,CCS,2024,7
517,11A1318,Trofa,8,CCS,2024,7
518,11A0119,Vale de Cambra,3,CCS,2024,7
519,11A1315,Valongo,29,CCS,2024,7
520,11A1316,Vila do Conde,19,CCS,2024,7
521,11A1317,Vila Nova de Gaia,69,CCS,2024,7
