,Installation Code,District,Municipality,Geographic Coordinates,Installed Power [kVA],Usage Level [%],Construction Type,Contracted Power [kVA],Number of Clients,Power Generation [kW],Number of Client Producers,Usage Histogram,DistrictCode,DistrictMunicipalityCode
67602,1317D2004100,Porto,Vila Nova de Gaia,"41.040408268836174, -8.646524352262816",630,20%-39%,Cabine alta,1035.18,122,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1903.25;6209.25;199.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
67648,1313D2002200,Porto,Póvoa de Varzim,"41.41206261176623, -8.668778370485986",400,0%-19%,Cabine alta,301.31,29,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;7530.0;766.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1313
67680,1310D2027500,Porto,Paredes,"41.19427419930463, -8.384680220021817",250,0%-19%,Cabine baixa em edifício próprio,268.13,42,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7483.0;828.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
67681,1310D2036500,Porto,Paredes,"41.169788203172274, -8.401663339378242",630,0%-19%,Cabine pré-fabricada,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8723.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
67683,0104D2014700,Aveiro,Arouca,"40.952202309700915, -8.423319540124108",100,20%-39%,Aéreo - AS,534.87,73,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;996.0;5502.5;1674.25;155.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,104
67687,0116D2008600,Aveiro,São João da Madeira,"40.89428355998743, -8.49004853673006",630,20%-39%,Cabine baixa em edifício próprio,1229.87,146,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2301.75;4907.5;524.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,116
67688,0116D2001300,Aveiro,São João da Madeira,"40.90017512015098, -8.495000907528306",400,20%-39%,Cabine baixa integrada em edifício,819.43,106,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1234.25;4400.75;2677.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,116
67693,1312D2002900,Porto,Porto,"41.14997200667592, -8.61103792839148",630,20%-39%,Cabine baixa integrada em edifício,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2397.25;4346.0;1569.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67694,1312D2016300,Porto,Porto,"41.1555581713607, -8.662950982445606",630,20%-39%,Cabine baixa em edifício próprio,1171.85,108,62.20,20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1065.75;4286.0;2588.75;372.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67695,1312D2127900,Porto,Porto,"41.16712264505177, -8.682541386342084",400,20%-39%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;2636.75;4907.25;760.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67696,1312D2101400,Porto,Porto,"41.15688951717694, -8.64852400906327",630,0%-19%,Cabine pré-fabricada,910.19,137,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;7310.5;1000.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67697,1312D2049100,Porto,Porto,"41.15830153262008, -8.68174575980729",630,0%-19%,Cabine subterrânea,1250.05,130,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6958.0;1360.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67698,1312D2056900,Porto,Porto,"41.16676282200225, -8.593921885699398",1260,20%-39%,Cabine subterrânea,2320.26,287,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2117.25;4964.0;1230.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67699,1312D2100600,Porto,Porto,"41.155303606362835, -8.611041005462356",630,N/D,Cabine baixa integrada em edifício,N/D,<20,N/D,<20,,13,1312
67742,1310D2027200,Porto,Paredes,"41.15209808410728, -8.39195336566834",630,0%-19%,Cabine baixa em edifício próprio,485.13,89,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8232.25;81.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
67747,0104D2010400,Aveiro,Arouca,"40.95878271411335, -8.135200511034745",100,20%-39%,Aéreo - AS,376.86,88,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.75;3088.25;3918.5;1300.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,104
67757,1304D2024700,Porto,Gondomar,"41.1410239416452, -8.565433918810959",630,20%-39%,Cabine baixa em edifício próprio,1400.70,229,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;327.0;6142.25;1843.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
67758,1304D2029400,Porto,Gondomar,"41.18559060675794, -8.524742997899114",400,0%-19%,Cabine baixa em edifício próprio,284.05,45,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
67759,1304D2001600,Porto,Gondomar,"41.113035859751484, -8.487504164488515",315,40%-59%,Cabine alta,1258.61,170,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.5;3089.25;3545.25;1662.25;9.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
