,Installation Code,District,Municipality,Geographic Coordinates,Installed Power [kVA],Usage Level [%],Construction Type,Contracted Power [kVA],Number of Clients,Power Generation [kW],Number of Client Producers,Usage Histogram,DistrictCode,DistrictMunicipalityCode
32587,1310D2001300,Porto,Paredes,"41.19348696817853, -8.390237845275214",200,40%-59%,Cabine alta,720.48,120,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85.25;3382.0;2824.5;1551.25;472.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
32630,1317D2133300,Porto,Vila Nova de Gaia,"41.142070203957275, -8.625833145896456",400,0%-19%,Cabine baixa integrada em edifício,184.03,25,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8319.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
32648,1306D2033400,Porto,Maia,"41.22520234340751, -8.62126767017229",630,20%-39%,Cabine baixa em edifício próprio,1073.21,148,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4437.0;3802.75;74.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
32649,1306D2045700,Porto,Maia,"41.20422622849942, -8.561062488087575",1000,20%-39%,Cabine baixa em edifício próprio,3068.21,496,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1211.75;4473.25;2624.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
32650,1312D2104300,Porto,Porto,"41.162710309987766, -8.667821160029101",630,20%-39%,Cabine baixa integrada em edifício,1295.37,137,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3573.75;4193.5;541.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
32651,1312D2004400,Porto,Porto,"41.16730681025518, -8.615191600249496",1260,20%-39%,Cabine baixa em edifício próprio,3501.27,642,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1643.75;5163.5;1501.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
32669,1304D2002400,Porto,Gondomar,"41.139468577817155, -8.568934402318968",630,20%-39%,Cabine alta,911.95,170,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4412.75;3850.5;35.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
32672,0109D2058600,Aveiro,Santa Maria da Feira,"40.92471755393845, -8.488820991720564",100,0%-19%,Aéreo - AS,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8749.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
32673,0109D2023900,Aveiro,Santa Maria da Feira,"41.03364392983796, -8.459303169215282",250,20%-39%,Cabine metálica (monobloco),1046.63,140,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1834.5;5947.5;529.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
32674,0109D2054000,Aveiro,Santa Maria da Feira,"41.008917014453246, -8.577682668047563",400,0%-19%,Cabine pré-fabricada,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3299.0;5014.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
32675,0109D2059400,Aveiro,Santa Maria da Feira,"40.92683822643956, -8.461993941732947",100,0%-19%,Aéreo - AS,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8606.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
32678,1315D2030500,Porto,Valongo,"41.22089829512232, -8.522111269591596",250,0%-19%,Cabine baixa em edifício próprio,324.85,61,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5890.0;2436.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
32679,1315D2048900,Porto,Valongo,"41.182766247340915, -8.474312155734474",400,0%-19%,Cabine baixa em edifício próprio,484.40,48,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8311.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
32712,1308D2036100,Porto,Matosinhos,"41.1921776756974, -8.65884601301714",630,20%-39%,Cabine baixa em edifício próprio,1575.08,228,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2687.5;5236.5;386.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
32720,1318D2013200,Porto,Trofa,"41.29758963320235, -8.609142822940946",250,0%-19%,Aéreo - AI,363.58,49,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5005.0;3012.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
32721,1318D2019300,Porto,Trofa,"41.29708848942943, -8.603195679096348",160,0%-19%,Aéreo - AI,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;283.0;7693.0;351.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
32738,1314D2026600,Porto,Santo Tirso,"41.344698559578475, -8.46219389971053",400,0%-19%,Cabine baixa integrada em edifício,207.09,20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;872.75;4228.75;3214.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
32741,1316D2029700,Porto,Vila do Conde,"41.338448373524734, -8.67941581624522",100,0%-19%,Cabine alta,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8332.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
32778,1313D2023100,Porto,Póvoa de Varzim,"41.42917595740871, -8.779673570637186",400,0%-19%,Cabine baixa em edifício próprio,420.90,72,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8310.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1313
32779,1313D2019300,Porto,Póvoa de Varzim,"41.44949252171952, -8.723065878527214",630,20%-39%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;305.75;4593.0;3084.75;327.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1313
32788,0113D2034300,Aveiro,Oliveira de Azeméis,"40.88360011455445, -8.469771677493476",630,0%-19%,Cabine pré-fabricada,427.90,53,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7802.25;511.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,113
32809,1308D2014900,Porto,Matosinhos,"41.197185948472686, -8.604124699219183",315,0%-19%,Cabine alta,446.29,67,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8326.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
32810,1308D2055800,Porto,Matosinhos,"41.189458273728945, -8.638078099854075",630,20%-39%,Cabine pré-fabricada,1784.80,229,65.12,25,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;446.5;4867.25;2587.5;389.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
32811,1308D2070300,Porto,Matosinhos,"41.20125974574697, -8.634118019621901",400,0%-19%,Cabine baixa em edifício próprio,156.40,21,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8317.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
32839,0113D2002300,Aveiro,Oliveira de Azeméis,"40.848724142247335, -8.489772784921234",250,20%-39%,Cabine alta,1425.41,198,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;606.25;5591.5;1958.75;155.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,113
32844,1317D2018500,Porto,Vila Nova de Gaia,"41.10012467861452, -8.612160298303746",630,0%-19%,Cabine alta,528.17,97,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5935.5;2376.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
32845,1317D2073300,Porto,Vila Nova de Gaia,"41.12574972547461, -8.585335473053567",400,20%-39%,Cabine baixa em edifício próprio,959.74,179,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2057.25;4495.25;1763.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
32846,1317D2098000,Porto,Vila Nova de Gaia,"41.083593901494375, -8.537932699201335",250,40%-59%,Cabine baixa em edifício próprio,716.45,96,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;1624.25;3582.5;2111.5;803.25;180.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
32859,1304D2007400,Porto,Gondomar,"41.190810740748205, -8.51844773841988",400,40%-59%,Cabine alta,1655.06,226,50.11,25,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1605.75;3990.0;1984.0;695.5;35.75;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
32860,1304D2047500,Porto,Gondomar,"41.16426975556441, -8.5546795275778",400,0%-19%,Cabine baixa em edifício próprio,435.58,54,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7559.75;761.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
32861,1304D2030300,Porto,Gondomar,"41.19375893262753, -8.568500455404596",630,40%-59%,Cabine baixa em edifício próprio,2155.23,324,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.5;3224.75;3048.75;1595.25;394.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
32866,1316D2002200,Porto,Vila do Conde,"41.26473501464752, -8.663127261820602",250,20%-39%,Cabine alta,783.15,114,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1407.5;4935.25;1961.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
32867,1316D2031600,Porto,Vila do Conde,"41.333148835079434, -8.7257974332492",400,20%-39%,Cabine baixa em edifício próprio,682.51,134,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1079.0;5945.0;1289.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
32868,1316D2019100,Porto,Vila do Conde,"41.34353255189688, -8.696009203762413",160,20%-39%,Cabine alta,247.45,37,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2286.5;5849.0;180.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
32876,1306D2006700,Porto,Maia,"41.2458599543586, -8.664227399937772",400,40%-59%,Cabine alta,1805.50,237,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;239.0;2642.0;3089.25;1650.5;688.75;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
32877,1306D2081400,Porto,Maia,"41.24066011188128, -8.562309100285269",160,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8740.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
32878,1306D2001800,Porto,Maia,"41.25426441526692, -8.655130624017458",630,20%-39%,Cabine alta,2432.45,279,84.64,35,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1626.25;5368.25;1318.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
32887,1312D2144900,Porto,Porto,"41.155037300365905, -8.620391829781417",630,N/D,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,,13,1312
32888,1312D2083200,Porto,Porto,"41.146915323000314, -8.608270790864987",630,0%-19%,Cabine baixa integrada em edifício,1280.00,104,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2999.25;5312.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
32894,1310D2043200,Porto,Paredes,"41.20288660341846, -8.333684374011694",630,20%-39%,Cabine baixa em edifício próprio,980.55,95,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;652.5;5779.75;1879.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
32908,1315D2013100,Porto,Valongo,"41.19569605608455, -8.496898593484216",400,20%-39%,Cabine baixa em edifício próprio,819.05,127,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2715.0;5224.5;373.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
32932,0109D2034300,Aveiro,Santa Maria da Feira,"40.9222396278566, -8.521983928689536",250,40%-59%,Cabine baixa integrada em edifício,1326.28,168,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;97.5;1584.75;3387.75;2282.0;959.25;0.0;0.0;0.0;0.0;0.0;0.0),1,109
32970,1304D2026600,Porto,Gondomar,"41.08292576684161, -8.494986223869189",250,0%-19%,Cabine alta,411.19,48,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5488.5;2821.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
32976,1315D2042700,Porto,Valongo,"41.18412392758992, -8.478432123886416",630,0%-19%,Cabine pré-fabricada,671.31,127,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8050.25;260.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
32986,0109D2009600,Aveiro,Santa Maria da Feira,"40.98379347931298, -8.597076008450367",75,20%-39%,Cabine baixa em edifício próprio,174.05,23,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.25;68.25;1429.0;3250.25;2829.75;720.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
32987,1312D2010300,Porto,Porto,"41.16511201594122, -8.595779323669307",400,0%-19%,Cabine subterrânea,673.89,46,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4461.25;3851.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
32988,1312D2068000,Porto,Porto,"41.15288339838874, -8.622647041163646",800,20%-39%,Cabine baixa integrada em edifício,1305.20,178,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;218.25;6052.0;2042.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
32989,1312D2044000,Porto,Porto,"41.15875787501603, -8.653749998714426",630,0%-19%,Cabine subterrânea,1408.76,182,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4701.0;3608.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
32990,1312D2116900,Porto,Porto,"41.17413303984839, -8.638161199787687",1030,0%-19%,Cabine pré-fabricada,1543.32,207,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7916.25;356.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
32999,1310D2010900,Porto,Paredes,"41.24837030828112, -8.365037502798257",250,40%-59%,Cabine baixa em edifício próprio,925.75,112,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.75;2725.75;2031.5;1582.0;1306.75;664.25;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
33000,1310D2019900,Porto,Paredes,"41.22940067991228, -8.310439521820744",250,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8362.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
33001,1310D2040300,Porto,Paredes,"41.20398776964379, -8.328562119159136",630,0%-19%,Cabine baixa integrada em edifício,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8339.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
33013,1308D2068300,Porto,Matosinhos,"41.187867901068884, -8.599795652774056",1260,0%-19%,Cabine pré-fabricada,1691.65,295,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6923.5;1387.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
33014,1308D2023100,Porto,Matosinhos,"41.181626501291035, -8.628547989023662",880,0%-19%,Cabine baixa integrada em edifício,1092.27,170,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8004.25;307.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
33015,1308D2000800,Porto,Matosinhos,"41.213537458034914, -8.695036256813022",400,N/D,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,,13,1308
33049,1317D2044200,Porto,Vila Nova de Gaia,"41.09670102310931, -8.58795291990193",630,20%-39%,Cabine baixa integrada em edifício,1706.89,239,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;905.75;4658.5;2509.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
33050,1317D2112900,Porto,Vila Nova de Gaia,"41.040978222274745, -8.646284932325134",630,20%-39%,Cabine baixa em edifício próprio,1336.29,167,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.25;5801.25;2498.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
33051,1317D2126900,Porto,Vila Nova de Gaia,"41.13738475185479, -8.628212425838171",630,0%-19%,Cabine pré-fabricada,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8314.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
33109,0104D2025400,Aveiro,Arouca,"40.92398166348575, -8.131848343214763",100,0%-19%,Aéreo - AS,133.08,29,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8296.25;22.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,104
33142,0109D2005600,Aveiro,Santa Maria da Feira,"40.97108104746246, -8.57791577895965",250,40%-59%,Cabine alta,1338.17,194,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1973.0;3435.0;1855.25;908.0;137.5;0.0;0.0;0.0;0.0;0.0;0.0),1,109
33144,1312D2123200,Porto,Porto,"41.177012723376905, -8.590026768926428",630,0%-19%,Cabine pré-fabricada,737.71,134,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7847.25;283.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
33145,1312D2050900,Porto,Porto,"41.15056367214222, -8.647653218645086",630,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8142.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
33146,1312D2998500,Porto,Porto,"41.185119724272354, -8.610550146500788",630,N/D,Cabine baixa em edifício próprio,581.91,110,N/D,<20,,13,1312
33147,1312D2100500,Porto,Porto,"41.1485038238727, -8.619875619285331",400,20%-39%,Cabine baixa em edifício próprio,1076.56,142,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;120.5;3311.0;3013.75;1865.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
33148,1312D2088300,Porto,Porto,"41.15700053198465, -8.625047488902108",630,20%-39%,Cabine baixa em edifício próprio,482.70,32,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4423.5;3447.25;441.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
33149,1312D2075900,Porto,Porto,"41.15149221372495, -8.608506405954936",630,20%-39%,Cabine baixa integrada em edifício,1476.47,169,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072.25;3514.75;3552.75;171.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
33154,1317D2104100,Porto,Vila Nova de Gaia,"41.084924302108426, -8.6386113015252",400,0%-19%,Cabine baixa integrada em edifício,187.45,27,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8324.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
33163,0104D2019900,Aveiro,Arouca,"40.904732346881595, -8.26250897435628",100,20%-39%,Aéreo - AS,154.10,32,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4067.25;4008.0;256.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,104
33178,1306D2021100,Porto,Maia,"41.229205751093446, -8.580971019987116",630,20%-39%,Cabine pré-fabricada,1408.96,168,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2660.0;4300.5;1351.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
33187,1315D2023200,Porto,Valongo,"41.21080538779773, -8.54530141023432",250,0%-19%,Cabine pré-fabricada,646.60,117,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6416.75;1898.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
33188,1315D2049900,Porto,Valongo,"41.18376058800749, -8.479991828415262",630,0%-19%,Cabine pré-fabricada,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.75;6866.25;1447.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
33203,1304D2022000,Porto,Gondomar,"41.169582721018514, -8.549292873754982",630,0%-19%,Cabine baixa integrada em edifício,616.32,111,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8035.5;279.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
33204,1304D2004300,Porto,Gondomar,"41.14030353428978, -8.49793305917512",630,N/D,Cabine alta,2372.42,365,58.57,38,,13,1304
33205,1314D2029100,Porto,Santo Tirso,"41.33742384585896, -8.475792790366897",400,0%-19%,Cabine baixa integrada em edifício,219.65,36,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8133.0;195.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
33206,1314D2056300,Porto,Santo Tirso,"41.27463905018287, -8.500225874729232",400,20%-39%,Cabine pré-fabricada,467.42,34,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;257.25;2727.0;4815.25;522.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
33207,1318D2011200,Porto,Trofa,"41.2806439576066, -8.553698267219115",250,40%-59%,Cabine alta,1043.47,151,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2947.25;3620.75;1635.0;109.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
33237,1316D2043600,Porto,Vila do Conde,"41.25914680182728, -8.654922582998767",630,20%-39%,Cabine baixa em edifício próprio,821.90,34,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.75;608.25;5688.5;1246.0;723.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
33238,1316D2014000,Porto,Vila do Conde,"41.31660112952943, -8.734128681532862",100,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;8388.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
33239,1316D2037200,Porto,Vila do Conde,"41.31673528622359, -8.639178173343211",160,20%-39%,Cabine alta,506.45,66,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5977.0;1427.5;733.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
33240,1316D2042600,Porto,Vila do Conde,"41.330990894893795, -8.71565420178555",630,40%-59%,Cabine baixa integrada em edifício,848.06,44,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.0;4806.5;412.25;1787.5;1237.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
33241,1316D2019000,Porto,Vila do Conde,"41.36469680169618, -8.756175381255968",630,40%-59%,Cabine baixa integrada em edifício,3505.72,597,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;627.0;2978.25;3067.5;1511.25;127.5;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
33289,0113D2001000,Aveiro,Oliveira de Azeméis,"40.836675238960574, -8.503988726479063",315,40%-59%,Cabine alta,1262.41,189,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;2740.25;3237.0;2186.25;146.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,113
33290,0113D2038800,Aveiro,Oliveira de Azeméis,"40.77819940279951, -8.483230930550464",160,0%-19%,Aéreo - AI,220.35,31,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5590.5;2726.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,113
33299,1313D2016200,Porto,Póvoa de Varzim,"41.380297469634726, -8.751133227980311",400,40%-59%,Cabine baixa em edifício próprio,1884.26,367,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1479.75;3740.0;2228.75;793.25;69.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1313
