Installation Code;District;Municipality;Geographic Coordinates;Installed Power [kVA];Usage Level [%];Construction Type;Contracted Power [kVA];Number of Clients;Power Generation [kW];Number of Client Producers;Usage Histogram;DistrictCode;DistrictMunicipalityCode
1312D2002300;Porto;Porto;41.150890125704706, -8.604007532619447;1260;0%-19%;Cabine baixa em edifício próprio;1981.26;292;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2424.0;5887.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2009300;Porto;Porto;41.148552251617055, -8.668639384355393;630;40%-59%;Cabine baixa em edifício próprio;2187.32;257;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.25;2303.75;4049.75;1660.5;296.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2046300;Porto;Porto;41.15015736798387, -8.660034784311309;630;0%-19%;Cabine subterrânea;950.96;127;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6538.75;1773.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2050200;Porto;Porto;41.15336661508079, -8.608959504835301;630;0%-19%;Cabine subterrânea;621.18;68;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;8320.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2043800;Porto;Porto;41.147595277385435, -8.588974044941507;630;0%-19%;Cabine subterrânea;1283.60;193;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3514.75;4798.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2003000;Porto;Porto;41.14376310311517, -8.613315861699899;1260;40%-59%;Cabine baixa em edifício próprio;4671.51;542;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1486.0;1653.25;1428.5;3246.75;455.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2053400;Porto;Porto;41.159417548816485, -8.666083527873962;630;20%-39%;Cabine subterrânea;1027.80;87;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;3011.25;4416.0;883.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2007000;Porto;Porto;41.1548877105481, -8.595299915341387;630;20%-39%;Cabine subterrânea;1731.28;299;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2580.5;5731.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2077800;Porto;Porto;41.17435212674567, -8.657772877888062;1030;20%-39%;Cabine baixa em edifício próprio;1358.52;168;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;927.5;6402.0;981.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2055400;Porto;Porto;41.16435593966578, -8.65517158085002;630;20%-39%;Cabine baixa em edifício próprio;1346.57;193;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2947.5;5167.75;195.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2036900;Porto;Porto;41.15654857670367, -8.619492182802357;630;20%-39%;Cabine subterrânea;1338.20;197;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2688.75;5531.75;88.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2056100;Porto;Porto;41.16066169242593, -8.611320672250805;630;0%-19%;Cabine subterrânea;1107.46;158;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3689.5;4624.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2077400;Porto;Porto;41.15970442004265, -8.59734805460045;630;0%-19%;Cabine baixa integrada em edifício;723.22;76;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;159.25;299.75;5123.75;2727.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2075500;Porto;Porto;41.15370744697184, -8.646041038145164;630;20%-39%;Cabine baixa em edifício próprio;1449.01;186;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;271.0;819.75;4475.25;2404.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2041100;Porto;Porto;41.15938314905656, -8.595761911753204;630;20%-39%;Cabine baixa em edifício próprio;896.14;140;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2543.75;5547.0;220.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2092900;Porto;Porto;41.172098197064656, -8.638946194236285;630;20%-39%;Cabine baixa em edifício próprio;1447.04;213;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3665.0;4442.75;203.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2025100;Porto;Porto;41.15774450953408, -8.619789203448718;400;0%-19%;Cabine subterrânea;543.95;106;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6477.5;1842.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2066400;Porto;Porto;41.14972276554992, -8.675532849174683;630;0%-19%;Cabine baixa integrada em edifício;1012.69;90;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5558.25;2754.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2127200;Porto;Porto;41.17778523898582, -8.649191881286495;630;0%-19%;Cabine baixa em edifício próprio;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7775.0;540.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2079900;Porto;Porto;41.16674833405831, -8.570782256472999;630;0%-19%;Cabine baixa em edifício próprio;754.41;119;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8309.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2058700;Porto;Porto;41.17398754573923, -8.590119074774995;630;0%-19%;Cabine subterrânea;1014.31;124;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6203.75;2108.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2070200;Porto;Porto;41.15290611548103, -8.619407594854147;400;20%-39%;Cabine baixa integrada em edifício;762.47;108;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1353.75;4408.0;2554.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2091800;Porto;Porto;41.1473888940894, -8.621472164214786;1260;0%-19%;Cabine baixa integrada em edifício;903.09;93;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;5429.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2095700;Porto;Porto;41.152382495312615, -8.656935473384454;630;0%-19%;Cabine baixa em edifício próprio;675.07;130;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6730.25;1586.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2093100;Porto;Porto;41.1772678088554, -8.624209454145651;630;0%-19%;Cabine baixa em edifício próprio;934.98;148;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8314.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2112200;Porto;Porto;41.16910688459063, -8.611196628517003;1260;0%-19%;Cabine baixa em edifício próprio;1672.92;262;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8022.75;286.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2100000;Porto;Porto;41.148579690877924, -8.655135353670541;400;0%-19%;Cabine baixa em edifício próprio;316.25;36;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2934.75;5382.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2061900;Porto;Porto;41.158643579987135, -8.680735946527964;400;20%-39%;Cabine subterrânea;653.24;46;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2733.5;5467.5;111.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2086700;Porto;Porto;41.15360957559964, -8.66597470315516;1000;0%-19%;Cabine baixa em edifício próprio;1507.78;178;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8312.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2065700;Porto;Porto;41.156158686855235, -8.664427763738209;630;40%-59%;Cabine baixa integrada em edifício;2267.81;200;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1287.25;3247.25;2746.5;1030.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2040200;Porto;Porto;41.165307289707954, -8.620424329524711;630;20%-39%;Cabine subterrânea;1860.72;303;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1047.5;3564.5;3054.5;645.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2033800;Porto;Porto;41.156448878229746, -8.578165626922019;630;20%-39%;Cabine baixa em edifício próprio;1834.76;301;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;165.25;4112.75;3038.75;961.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2058900;Porto;Porto;41.17348327811774, -8.588381794152383;630;0%-19%;Cabine subterrânea;669.30;76;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6036.5;2283.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2098300;Porto;Porto;41.18416454459294, -8.601220064736696;630;20%-39%;Cabine baixa em edifício próprio;1155.10;155;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2112.5;5525.75;675.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2108500;Porto;Porto;41.179467627796804, -8.650396498916638;400;0%-19%;Cabine metálica (monobloco);N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.5;783.75;5876.5;1617.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2066300;Porto;Porto;41.172956475267036, -8.67232433079401;630;20%-39%;Cabine baixa em edifício próprio;1685.62;141;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1353.5;5097.75;1860.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2069100;Porto;Porto;41.15888159890334, -8.647173635448134;630;20%-39%;Cabine baixa em edifício próprio;1755.89;287;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2129.75;4929.75;1252.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2057100;Porto;Porto;41.163188734494966, -8.67607099343794;630;20%-39%;Cabine subterrânea;1399.75;110;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;833.25;4585.0;2617.75;275.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2092400;Porto;Porto;41.15334441111036, -8.650516992308495;630;0%-19%;Cabine baixa em edifício próprio;1090.97;169;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5107.0;3205.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2046000;Porto;Porto;41.15586581493217, -8.55882895614487;400;20%-39%;Cabine baixa em edifício próprio;600.26;68;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2636.0;3326.75;1796.0;554.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2122500;Porto;Porto;41.159745408973954, -8.62776488293221;630;0%-19%;Cabine baixa em edifício próprio;477.26;61;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8314.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2134200;Porto;Porto;41.17934481683018, -8.616797858291465;0;N/D;Cabine pré-fabricada;N/D;<20;N/D;<20;;13;1312
1312D2034100;Porto;Porto;41.14860733479515, -8.658310696755063;1260;20%-39%;Cabine subterrânea;1996.66;233;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;588.75;5119.75;1653.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2124100;Porto;Porto;41.14510526606874, -8.579687177120338;630;20%-39%;Cabine baixa integrada em edifício;1034.26;108;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1166.0;6730.25;414.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2093200;Porto;Porto;41.17630103776591, -8.62319867714377;630;0%-19%;Cabine baixa em edifício próprio;883.05;159;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7667.5;644.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2076800;Porto;Porto;41.14920624710776, -8.583426139444441;400;40%-59%;Cabine baixa integrada em edifício;552.79;39;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1879.5;3989.25;1254.0;1154.5;35.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2035200;Porto;Porto;41.15086481226199, -8.669964568245486;630;20%-39%;Cabine baixa em edifício próprio;985.19;124;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1031.75;5115.5;1990.75;23.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2144300;Porto;Porto;41.14522306396105, -8.610127118665725;1260;N/D;Cabine baixa em edifício próprio;N/D;<20;N/D;<20;;13;1312
1312D2010600;Porto;Porto;41.15544763808365, -8.591481332994286;1000;20%-39%;Cabine baixa em edifício próprio;2447.17;366;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;3480.25;3910.25;921.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2074700;Porto;Porto;41.150246265244924, -8.611840500369249;630;40%-59%;Cabine baixa integrada em edifício;3835.00;514;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;722.0;1949.25;1877.5;2970.75;792.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2055000;Porto;Porto;41.15906675563171, -8.620391282675785;630;20%-39%;Cabine subterrânea;1841.63;236;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;302.5;3955.25;2740.0;1302.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2071300;Porto;Porto;41.159336033402724, -8.65048814861015;630;0%-19%;Cabine baixa em edifício próprio;724.50;110;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8312.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2004600;Porto;Porto;41.14887743498509, -8.572295961193248;630;0%-19%;Cabine baixa em edifício próprio;906.90;163;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8321.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2100200;Porto;Porto;41.14935692175917, -8.598315689550365;400;20%-39%;Cabine baixa integrada em edifício;881.30;100;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;281.0;4794.75;2720.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2070400;Porto;Porto;41.16660611300487, -8.654898470444621;400;20%-39%;Cabine baixa em edifício próprio;706.75;77;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.5;5093.75;3009.25;24.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2010800;Porto;Porto;41.15664330081347, -8.60209395392146;400;20%-39%;Cabine baixa integrada em edifício;564.65;68;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;1495.5;4455.25;2360.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2002200;Porto;Porto;41.15430954001439, -8.674411997588567;1260;20%-39%;Cabine baixa em edifício próprio;1681.38;168;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.75;4956.75;3011.25;154.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2025400;Porto;Porto;41.142932922727844, -8.604981666698174;630;20%-39%;Cabine subterrânea;1555.97;220;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1069.0;5807.5;1438.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2034000;Porto;Porto;41.15332104607724, -8.6056128309734;1260;0%-19%;Cabine subterrânea;1306.42;144;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6425.0;1886.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2030300;Porto;Porto;41.149073700449684, -8.601947730626405;630;20%-39%;Cabine subterrânea;1919.29;274;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.5;4695.5;3291.75;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2079000;Porto;Porto;41.148433818905204, -8.614499549894534;630;40%-59%;Cabine baixa integrada em edifício;979.21;69;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2040.75;2251.25;3233.25;718.25;67.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2068300;Porto;Porto;41.16165750860201, -8.639840673383876;630;20%-39%;Cabine baixa em edifício próprio;778.61;56;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2579.5;5705.5;26.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2064900;Porto;Porto;41.162451347356885, -8.612576903742202;630;0%-19%;Cabine baixa em edifício próprio;763.14;56;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5511.5;2803.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2076000;Porto;Porto;41.15950497381331, -8.639714144025776;630;0%-19%;Cabine baixa integrada em edifício;292.11;23;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8311.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2080700;Porto;Porto;41.17282622667202, -8.600667690024181;630;N/D;Cabine baixa em edifício próprio;N/D;<20;N/D;<20;;13;1312
1312D2111400;Porto;Porto;41.153824834499765, -8.67101145578181;1260;0%-19%;Cabine baixa em edifício próprio;1480.10;143;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7478.25;833.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2089700;Porto;Porto;41.151389440354095, -8.627984639785629;2000;0%-19%;Cabine baixa em edifício próprio;1695.48;197;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8312.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2064400;Porto;Porto;41.17694965416044, -8.62555646782283;630;0%-19%;Cabine baixa em edifício próprio;1816.65;238;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4199.5;4072.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2065400;Porto;Porto;41.17008880759747, -8.602198468609624;400;20%-39%;Cabine baixa em edifício próprio;676.24;91;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3538.5;4569.0;203.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2110200;Porto;Porto;41.14500559555743, -8.60437264353038;400;0%-19%;Cabine baixa integrada em edifício;709.55;92;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4134.25;4179.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2085800;Porto;Porto;41.153946670676596, -8.619028701071205;400;0%-19%;Cabine baixa integrada em edifício;307.05;25;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5376.5;2937.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2102300;Porto;Porto;41.16539101722267, -8.612596449013703;630;0%-19%;Cabine baixa integrada em edifício;846.40;123;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8315.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2104200;Porto;Porto;41.16172652147734, -8.571086467087413;630;0%-19%;Cabine baixa integrada em edifício;505.29;97;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8265.0;51.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2052000;Porto;Porto;41.152787634920635, -8.56667616069464;630;20%-39%;Cabine baixa integrada em edifício;1613.36;344;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;359.75;3737.25;3317.0;897.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2092200;Porto;Porto;41.16143133621294, -8.609821803550965;630;0%-19%;Cabine subterrânea;1297.20;153;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5927.5;2386.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2004300;Porto;Porto;41.16114945001897, -8.620939328727692;1260;20%-39%;Cabine subterrânea;2805.19;458;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1327.0;5130.5;1855.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2011400;Porto;Porto;41.16759169594415, -8.624897566153969;1260;20%-39%;Cabine baixa em edifício próprio;2130.35;300;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;174.75;121.0;1570.25;3895.5;1218.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2039800;Porto;Porto;41.180670604718074, -8.582877771465672;630;40%-59%;Cabine subterrânea;1769.83;211;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;97.0;2313.0;2396.75;2716.5;787.5;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2115000;Porto;Porto;41.15845268379549, -8.643574131936283;630;0%-19%;Cabine baixa integrada em edifício;762.46;75;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8272.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2049800;Porto;Porto;41.16025278305987, -8.634659532005355;630;0%-19%;Cabine subterrânea;1404.40;223;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6758.0;1554.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2110100;Porto;Porto;41.15976711495208, -8.596974341356399;630;0%-19%;Cabine baixa em edifício próprio;798.20;98;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5853.5;2465.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2121900;Porto;Porto;41.17623881394854, -8.588230261057374;630;0%-19%;Cabine pré-fabricada;1075.65;141;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6419.25;1899.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2065100;Porto;Porto;41.169664696715515, -8.648286320393417;400;40%-59%;Cabine baixa integrada em edifício;991.23;187;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;3297.75;3409.5;1515.75;87.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2027300;Porto;Porto;41.14060111429847, -8.614313729050927;800;60%-79%;Cabine baixa em edifício próprio;2869.66;299;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;28.5;2439.25;1226.5;1922.0;2651.25;43.75;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2008800;Porto;Porto;41.17779224650454, -8.58442926041067;630;20%-39%;Cabine baixa em edifício próprio;2006.03;300;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2240.5;5154.5;812.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
