Installation Code;District;Municipality;Geographic Coordinates;Installed Power [kVA];Usage Level [%];Construction Type;Contracted Power [kVA];Number of Clients;Power Generation [kW];Number of Client Producers;Usage Histogram;DistrictCode;DistrictMunicipalityCode
1312D2078400;Porto;Porto;41.146542977823096, -8.605022345865963;1260;0%-19%;Cabine baixa integrada em edifício;1353.15;142;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4500.0;3811.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2066200;Porto;Porto;41.16321992396208, -8.570943303713277;630;20%-39%;Cabine baixa em edifício próprio;849.52;131;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2514.25;4584.0;1214.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2098200;Porto;Porto;41.15404499451589, -8.609359971640126;630;0%-19%;Cabine baixa integrada em edifício;416.31;56;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8312.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2108100;Porto;Porto;41.17919462441886, -8.585115401865343;630;0%-19%;Cabine baixa integrada em edifício;1012.00;159;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7341.75;970.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2080800;Porto;Porto;41.15853121995038, -8.592704045732214;630;0%-19%;Cabine baixa em edifício próprio;456.97;62;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8277.0;40.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2998700;Porto;Porto;41.14911036987873, -8.632730027693711;1260;0%-19%;Cabine baixa integrada em edifício;1064.95;109;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8316.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2063400;Porto;Porto;41.15379155692138, -8.568209243263997;630;20%-39%;Cabine baixa integrada em edifício;521.52;110;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3104.5;4364.5;842.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2003400;Porto;Porto;41.14438184191575, -8.62361895266798;400;20%-39%;Cabine baixa em edifício próprio;657.67;95;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1071.0;6674.75;574.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2116200;Porto;Porto;41.16030371603227, -8.636060233353072;400;0%-19%;Cabine baixa em edifício próprio;558.91;76;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5635.5;2678.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2098800;Porto;Porto;41.14810071697097, -8.590476804407059;400;0%-19%;Cabine baixa integrada em edifício;1383.60;209;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5420.75;2896.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
