Quarter;District;Municipality;Parish;Maximum Admissible Power (kW);Connection points for electric vehicles charging stations;DistrictCode;DistrictMunicipalityCode;DistrictMunicipalityParishCode
2025T2;Porto;Vila Nova de Gaia;Gulpilhares e Valadares;20.7;4;13;1317;131726
2025T2;Porto;Vila Nova de Gaia;Grijó e Sermonde;107.6;1;13;1317;131725
2025T2;Porto;Vila Nova de Gaia;Arcozelo;13.8;1;13;1317;131701
2025T2;Porto;Vila Nova de Gaia;Arcozelo;400.0;2;13;1317;131701
2025T1;Porto;Matosinhos;Matosinhos e Leça da Palmeira;135.0;1;13;1308;130812
2025T2;Porto;Matosinhos;Matosinhos e Leça da Palmeira;175.0;1;13;1308;130812
2025T2;Porto;Matosinhos;Matosinhos e Leça da Palmeira;200.0;2;13;1308;130812
2025T2;Porto;Matosinhos;Matosinhos e Leça da Palmeira;13.8;5;13;1308;130812
2025T2;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;6.9;3;13;1308;130814
2025T2;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;200.0;2;13;1308;130814
2025T2;Porto;Santo Tirso;Aves;160.0;1;13;1314;131405
2025T2;Porto;Gondomar;Gondomar (São Cosme), Valbom e Jovim;13.8;1;13;1304;130415
2025T2;Porto;Marco de Canaveses;Marco;170.0;1;13;1307;130736
2025T1;Porto;Felgueiras;Vila Cova da Lixa e Borba de Godim;100.0;1;13;1303;130339
2025T1;Porto;Baião;Ancede e Ribadouro;600.0;1;13;1302;130221
2025T2;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;300.0;1;13;1312;131217
2025T2;Porto;Porto;Lordelo do Ouro e Massarelos;500.0;2;13;1312;131218
2025T2;Porto;Porto;Lordelo do Ouro e Massarelos;41.4;2;13;1312;131218
2025T2;Porto;Porto;Ramalde;13.8;2;13;1312;131211
2025T2;Porto;Porto;Ramalde;86.6;1;13;1312;131211
2025T2;Porto;Porto;Bonfim;1000.0;1;13;1312;131202
2025T2;Porto;Porto;Aldoar, Foz do Douro e Nevogilde;41.4;2;13;1312;131216
2025T2;Porto;Penafiel;Penafiel;120.0;3;13;1311;131139
2025T2;Porto;Vila Nova de Gaia;Mafamude e Vilar do Paraíso;27.6;1;13;1317;131727
2025T2;Porto;Vila Nova de Gaia;Vilar de Andorinho;200.0;1;13;1317;131723
2025T2;Porto;Vila Nova de Gaia;Vilar de Andorinho;10.35;1;13;1317;131723
2025T2;Porto;Vila Nova de Gaia;Avintes;20.7;1;13;1317;131702
2025T2;Porto;Vila Nova de Gaia;Pedroso e Seixezelo;13.8;2;13;1317;131728
2025T2;Porto;Valongo;Ermesinde;100.0;1;13;1315;131503
2025T2;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;250.0;1;13;1308;130814
2025T2;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;1.15;1;13;1308;130814
2025T2;Porto;Matosinhos;Matosinhos e Leça da Palmeira;69.0;1;13;1308;130812
2025T2;Porto;Matosinhos;Matosinhos e Leça da Palmeira;34.5;3;13;1308;130812
2025T2;Porto;Matosinhos;Custóias, Leça do Balio e Guifões;13.8;3;13;1308;130811
2025T2;Porto;Matosinhos;Custóias, Leça do Balio e Guifões;160.0;2;13;1308;130811
2025T2;Porto;Santo Tirso;Aves;400.0;2;13;1314;131405
2025T2;Porto;Felgueiras;Margaride, Várzea, Lagares, Varziela e Moure;250.0;2;13;1303;130335
